tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,87.9376,58.31,0,0,1.0,1.0,1.0,0.02,78.3,0,5.78,18.1
1,90.5036,57.5,0,0,1.0,1.0,1.0,0.02,78.8,0,5.62,36.2
2,93.1285,56.41,0,0,1.0,1.0,1.0,0.02,79.4,0,5.6,54.2
3,95.7134,55.41,0,0,1.0,1.0,1.0,0.02,80.0,0,5.63,72.3
4,98.5019,54.57,0,0,1.0,1.0,1.0,0.02,80.5,0,5.69,90.4
5,101.3112,53.81,0,0,1.0,1.0,1.0,0.02,81.1,0,5.82,108.5
6,102.7448,52.72,0,0,1.0924,1.0,1.0166,0.03432,81.6,0,6.31,126.6
7,103.0021,51.22,0,0,1.1664,1.0,1.0298,0.05224,74.0,1,6.87,144.6
8,103.1492,50.0,0,0,1.2255,1.0,1.0404,0.05605,74.7,1,7.67,162.7
9,103.3274,48.97,0,0,1.278,1.0,1.0489,0.05779,75.5,1,8.3,180.8
10,103.5729,48.18,0,0,1.3218,1.0,1.0557,0.05783,76.2,1,8.76,198.9
11,103.9526,47.45,0,0,1.3569,1.0,1.0611,0.05661,76.9,1,9.1,217.0
12,104.5042,46.86,0,0,1.385,1.0,1.0655,0.05462,77.6,1,9.32,235.0
13,105.2449,46.46,0,0,1.4074,1.0,1.069,0.05218,78.3,1,9.43,253.1
14,106.1778,46.16,0,0,1.4254,1.0,1.0718,0.04953,79.0,1,9.47,271.2
15,107.2973,45.99,0,0,1.4399,1.0,1.074,0.04683,79.7,1,9.44,289.3
16,108.5938,45.94,0,0,1.4515,1.0,1.0758,0.04419,80.3,1,9.37,307.4
17,109.9469,45.97,0,0,1.4609,1.0,1.088,0.04249,81.0,1,9.26,325.4
18,111.4003,45.96,0,0,1.4684,1.0,1.0979,0.04066,81.5,1,9.17,343.5
19,112.9619,46.05,0,0,1.4746,1.0,1.1059,0.0388,82.1,1,9.04,361.6
20,114.6332,46.15,0,0,1.4795,1.0,1.1124,0.03697,82.6,1,8.92,379.7
21,116.4121,46.26,0,0,1.4836,1.0,1.1176,0.03523,83.2,1,8.79,397.8
22,118.2949,46.4,0,0,1.4869,1.0,1.1219,0.0336,83.7,1,8.66,415.8
23,120.2765,46.54,0,0,1.4896,1.0,1.1253,0.03209,84.2,1,8.54,433.9
24,122.3513,46.67,0,0,1.4919,1.0,1.1282,0.03071,84.6,1,8.42,452.0
25,124.6416,46.85,0,0,1.493,1.0,1.1191,0.02857,85.1,1,8.27,469.2
26,127.0744,47.02,0,0,1.4938,1.0,1.1119,0.02686,85.6,1,8.12,486.4
27,129.6118,47.29,0,0,1.4768,1.0,1.1061,0.02411,86.0,1,7.93,502.4
28,132.2948,47.55,0,0,1.4632,1.0,1.1014,0.0221,86.5,1,7.74,518.5
29,135.0887,47.83,0,0,1.4524,1.0,1.0977,0.02067,86.9,1,7.57,532.9
30,137.786,48.08,0,0,1.437,1.0,1.0948,0.01913,87.3,1,7.4,547.3
31,140.571,48.41,0,0,1.4115,1.0,1.0924,0.01704,87.8,1,7.21,561.7
32,143.4675,48.69,0,0,1.3911,1.0,1.0905,0.01567,88.2,1,7.03,576.1
33,146.4432,48.96,0,0,1.3747,1.0,1.089,0.01485,88.6,1,6.88,590.5
34,148.875,48.77,0,0,1.3617,1.0,1.0877,0.02236,82.7,2,6.7,604.9
35,151.8459,49.0,0,0,1.3502,1.0,1.0868,0.01965,83.1,2,6.72,619.3
