tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.7513,58.34,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.67,17.8,0
1,85.8476,57.51,0,0,1.0,1.0,1.0,0.02074,78.7,0,5.44,35.7,0
2,85.9391,56.13,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.42,53.5,0
3,86.0246,54.84,0,0,1.0,1.0,1.0,0.02127,79.6,0,5.5,71.3,0
4,86.1079,53.47,0,0,1.0,1.0,1.0,0.02149,80.0,0,5.67,89.2,0
5,86.1878,52.1,0,0,1.0,1.0,1.0,0.02167,80.5,0,6.16,107.0,0
6,85.6846,47.92,0,0,2.3618,1.0,1.5558,0.12878,81.7,0,9.05,124.8,0
7,84.612,41.74,0,0,2.393,1.0,1.535,0.22048,83.0,0,13.36,142.7,0
8,83.5686,36.18,0,0,2.3996,1.0,1.5573,0.21528,84.4,0,16.68,160.5,0
9,82.5513,31.64,0,0,2.3997,1.0,1.5573,0.2113,85.8,0,19.14,178.3,0
10,81.4777,27.45,0,0,2.4142,1.8132,1.5573,0.22106,87.2,0,21.26,196.2,0
11,80.2185,23.59,0,1,2.4143,1.8154,2.1802,0.2448,88.7,0,23.46,214.0,0
12,79.0745,21.16,0,3,2.4143,1.7776,2.0072,0.22455,90.1,0,24.64,231.8,0
13,78.164,20.13,0,4,2.4143,1.7776,1.9231,0.1964,91.4,0,24.82,246.9,0
14,77.4858,19.97,0,5,2.4143,1.7776,1.4496,0.17141,92.6,0,24.4,261.9,0
15,77.0055,20.23,0,5,2.4143,1.7776,1.4496,0.1536,93.6,0,23.76,277.0,0
16,76.5636,20.55,0,5,2.4143,1.8154,1.5737,0.14915,94.7,0,23.18,292.0,0
17,76.1475,22.44,0,5,2.4143,1.8154,1.5573,0.14243,95.8,0,22.55,307.1,0
18,75.824,26.25,0,3,2.4143,1.8154,1.5573,0.13025,96.7,0,21.77,324.9,0
19,75.5627,27.72,0,2,2.4143,1.7776,1.4496,0.11486,97.6,0,20.86,342.7,0
20,75.3409,28.88,0,1,2.4143,1.7776,1.4496,0.09984,98.6,0,19.82,360.6,0
21,75.1462,28.83,0,1,2.5481,1.7776,1.4496,0.09213,99.6,0,18.9,376.3,0
22,74.9249,29.07,0,2,2.4431,1.7776,1.7661,0.09152,100.5,0,18.18,392.0,0
23,74.6463,30.61,0,1,2.4431,1.7776,1.7666,0.091,101.8,0,17.63,407.7,0
24,74.4207,31.03,0,1,2.3447,1.7776,1.7065,0.08121,103.0,0,16.98,423.4,0
25,74.2744,31.71,0,1,2.3447,1.7776,1.4496,0.06817,104.0,0,16.2,439.1,0
26,73.8051,31.99,0,1,2.201,1.7776,1.4496,0.06575,94.4,1,15.38,454.7,0
27,73.7819,32.88,0,1,1.4741,1.7776,1.4496,0.04661,95.1,1,14.64,470.4,0
28,73.8128,35.66,0,0,1.4741,1.7776,1.4496,0.02992,95.8,1,13.68,486.0,0
29,73.834,36.25,0,0,1.4741,1.7776,1.4496,0.03108,96.6,1,12.96,501.7,0
30,73.8505,36.69,0,0,1.4741,1.7776,1.4496,0.03112,97.3,1,12.4,517.3,0
31,73.8667,37.08,0,0,1.4741,1.7776,1.4496,0.03021,98.0,1,11.94,531.4,0
32,73.8352,37.11,2,0,1.6952,1.7776,1.4496,0.03647,98.9,1,12.02,545.0,0.0052
33,73.7949,37.24,0,0,1.6952,1.7776,1.4496,0.0386,99.6,1,11.72,558.7,0.0103
34,73.8436,38.01,0,0,1.4741,1.7776,1.4496,0.01987,100.3,1,11.06,572.4,0.0103
35,73.9245,38.99,1,0,1.6952,1.7776,1.4496,0.01047,101.0,1,10.64,586.1,0.0123
