tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4195,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1889,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.9549,56.26,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.42,53.5,0
3,84.7156,55.0,0,0,1.0,1.0,1.0,0.02127,79.6,0,5.48,71.3,0
4,84.4364,53.57,1,0,1.15,1.0,1.0,0.02798,80.2,0,6.01,89.2,0.003
5,84.3025,52.12,0,0,1.15,1.0,1.0,0.03369,80.6,0,6.54,107.0,0.0043
6,84.2056,51.14,0,0,1.0,1.0,1.0,0.02639,81.1,0,6.89,124.8,0.0043
7,84.294,50.54,0,0,1.0,1.0,1.0,0.02019,81.6,0,7.02,142.7,0.0043
8,84.3802,49.93,0,0,1.0,1.0,1.0,0.02057,82.0,0,7.17,160.5,0.0043
9,84.4306,49.23,0,0,1.15,1.0,1.0,0.0274,82.5,0,7.44,178.3,0.006
10,84.4845,48.69,0,0,1.0,1.0,1.0,0.02671,82.9,0,7.64,196.2,0.006
11,84.5664,48.2,0,0,1.0,1.0,1.0,0.02046,83.4,0,7.71,214.0,0.006
12,84.6124,47.55,1,0,1.15,1.0,1.0,0.02732,83.9,0,8.17,231.8,0.0073
13,84.6316,46.79,1,0,1.15,1.0,1.0,0.0332,84.5,0,8.67,249.7,0.0086
14,84.6551,46.2,0,0,1.15,1.0,1.0,0.03169,84.9,0,8.78,267.5,0.0119
15,84.6869,45.74,1,0,1.15,1.0,1.0,0.0304,85.5,0,9.06,285.3,0.0132
16,84.7094,45.3,2,0,1.15,1.0,1.0,0.02956,86.1,0,9.37,303.1,0.0166
17,84.7354,44.96,0,0,1.15,1.0,1.0,0.02869,86.5,0,9.25,321.0,0.0201
18,84.7789,44.77,0,0,1.15,1.0,1.0,0.02789,87.0,0,9.13,338.8,0.0218
19,84.8559,44.86,0,0,1.0,1.0,1.0,0.02148,87.4,0,8.88,356.6,0.0218
20,84.9259,44.91,0,0,1.15,1.0,1.0,0.02168,87.8,0,8.71,374.5,0.0233
21,84.9597,44.7,0,0,1.15,1.0,1.0,0.02844,88.3,0,8.74,392.3,0.0282
22,85.0002,44.53,0,0,1.15,1.0,1.0,0.02767,88.7,0,8.75,409.4,0.0315
23,85.0777,44.64,0,0,1.0014,1.0,1.0,0.02135,89.1,0,8.59,426.5,0.0315
24,85.1454,44.59,0,0,1.15,1.0,1.0,0.0216,89.6,0,8.52,443.6,0.0349
25,85.1747,44.28,0,0,1.15,1.0,1.0,0.0283,90.0,0,8.64,460.6,0.0413
26,85.216,44.02,0,0,1.15,1.0,1.0,0.02757,90.5,0,8.69,476.9,0.0444
27,85.2475,43.78,0,0,1.15,1.0,1.0,0.02702,90.9,0,8.74,493.1,0.0502
28,85.2924,43.62,0,1,1.15,1.0,1.0,0.02649,91.4,0,8.76,507.7,0.056
29,85.3444,43.61,0,1,1.15,1.0,1.0,0.02605,91.8,0,8.75,520.8,0.0575
30,85.4269,43.81,0,1,1.0,1.0,1.0,0.01995,92.1,0,8.62,534.0,0.0575
31,85.5333,44.16,0,1,1.0,1.0,1.0,0.01475,92.5,0,8.41,547.1,0.0575
32,85.6349,44.46,0,1,1.0,1.0,1.0,0.01609,92.8,0,8.26,560.2,0.0575
33,85.73,44.52,0,1,1.0,1.0,1.0,0.01721,93.2,0,8.18,573.3,0.0575
34,85.7516,45.82,2,0,1.15,1.0,1.0,0.02471,93.8,0,8.72,587.2,0.0617
35,85.6676,44.34,1,0,1.15,1.0,1.0,0.03132,94.4,0,9.46,601.0,0.0707
