tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.7513,58.34,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.67,17.8,0
1,85.8476,57.51,0,0,1.0,1.0,1.0,0.02074,78.7,0,5.44,35.7,0
2,85.9391,56.13,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.42,53.5,0
3,86.0246,54.84,0,0,1.0,1.0,1.0,0.02127,79.6,0,5.5,71.3,0
4,86.1079,53.47,0,0,1.0,1.0,1.0,0.02149,80.0,0,5.67,89.2,0
5,86.1878,52.1,0,0,1.0,1.0,1.0,0.02167,80.5,0,6.16,107.0,0
6,86.2661,50.8,0,0,1.0,1.0,1.0,0.02183,80.9,0,6.62,124.8,0
7,86.3402,49.7,0,0,1.0,1.0,1.0,0.02196,81.4,0,7.01,142.7,0
8,86.4132,48.6,0,0,1.0,1.0,1.0,0.02208,81.8,0,7.36,160.5,0
9,86.4852,47.7,0,0,1.0,1.0,1.0,0.02218,82.3,0,7.65,178.3,0
10,86.5564,46.92,0,0,1.0,1.0,1.0,0.02227,82.7,0,7.88,196.2,0
11,86.6261,46.28,0,0,1.0,1.0,1.0,0.02235,83.2,0,8.06,214.0,0
12,86.6947,45.7,0,0,1.0,1.0,1.0,0.02242,83.6,0,8.22,231.8,0
13,86.7628,45.2,0,0,1.0,1.0,1.0,0.02248,84.1,0,8.36,249.7,0
14,86.8311,44.82,0,0,1.0,1.0,1.0,0.02253,84.5,0,8.45,267.5,0
15,86.8987,44.49,0,0,1.0,1.0,1.0,0.02258,85.0,0,8.52,285.3,0
16,86.9661,44.21,0,0,1.0,1.0,1.0,0.02262,85.4,0,8.58,303.1,0
17,87.0333,44.0,0,0,1.0,1.0,1.0,0.02266,85.9,0,8.62,321.0,0
18,87.1005,43.85,0,0,1.0,1.0,1.0,0.02269,86.3,0,8.66,338.8,0
19,87.1676,43.72,0,0,1.0,1.0,1.0,0.02272,86.8,0,8.69,356.6,0
20,87.2346,43.54,0,0,1.0,1.0,1.0,0.02275,87.2,0,8.73,374.5,0
21,87.3017,43.39,0,0,1.0,1.0,1.0,0.02278,87.6,0,8.76,392.3,0
22,87.3684,43.29,0,0,1.0,1.0,1.0,0.0228,88.1,0,8.79,410.1,0
23,87.4326,43.28,0,0,1.0,1.0,1.0,0.02283,88.5,0,8.81,427.9,0
24,87.4968,43.27,0,0,1.0,1.0,1.0,0.02285,89.0,0,8.83,445.7,0
25,87.5605,43.27,0,0,1.0,1.0,1.0,0.02287,89.4,0,8.83,463.2,0
26,87.6243,43.26,0,0,1.0,1.0,1.0,0.02289,89.9,0,8.84,480.4,0
27,87.6883,43.24,0,0,1.0,1.0,1.0,0.02299,90.3,0,8.84,497.3,0
28,87.7522,43.21,0,0,1.0,1.0,1.0,0.02309,90.7,0,8.84,514.0,0
29,87.8161,43.19,0,0,1.0,1.0,1.0,0.02317,91.2,0,8.85,530.7,0
30,87.88,43.16,0,0,1.0,1.0,1.0,0.02324,91.6,0,8.85,547.5,0
31,87.8939,42.9,0,0,1.15,1.0,1.0,0.02988,92.1,0,9.02,561.8,0.0034
32,87.9318,42.81,0,0,1.0,1.0,1.0,0.02903,92.5,0,9.09,573.3,0.0034
33,87.9996,42.95,0,0,1.0,1.0,1.0,0.0226,93.0,0,9.01,584.8,0.0034
34,88.0668,43.04,0,0,1.0,1.0,1.0,0.02278,93.4,0,8.95,596.3,0.0034
35,88.1332,43.21,0,0,1.0,1.0,1.0,0.02293,93.9,0,8.9,607.8,0.0034
