tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,87.9376,58.31,0,0,1.0,1.0,1.0,0.02,78.3,0,5.78,18.1
1,90.5036,57.5,0,0,1.0,1.0,1.0,0.02,78.8,0,5.62,36.2
2,93.1285,56.39,0,0,1.0,1.0,1.0,0.02,79.4,0,5.61,54.2
3,95.7134,55.37,0,0,1.0,1.0,1.0,0.02,80.0,0,5.65,72.3
4,98.5019,54.53,0,0,1.0,1.0,1.0,0.02,80.6,0,5.71,90.4
5,101.3112,53.76,0,0,1.0,1.0,1.0,0.02,81.2,0,5.84,108.5
6,104.3455,53.12,0,0,1.0,1.0,1.0,0.02,81.7,0,5.98,126.6
7,107.3583,52.67,0,0,1.0,1.0,1.0,0.02,82.3,0,6.07,144.6
8,110.3936,52.27,0,0,1.0,1.0,1.0,0.02,82.8,0,6.14,162.7
9,113.4514,51.95,0,0,1.0,1.0,1.0,0.02,83.3,0,6.2,180.8
10,116.4939,51.71,0,0,1.0,1.0,1.0,0.02,83.9,0,6.25,198.9
11,119.5593,51.38,0,0,1.0,1.0,1.0,0.02,84.4,0,6.32,217.0
12,122.5652,51.13,0,0,1.0,1.0,1.0,0.02,84.9,0,6.38,235.0
13,125.5885,50.91,0,0,1.0,1.0,1.0,0.02,85.4,0,6.43,253.1
14,128.6293,50.71,0,0,1.0,1.0,1.0,0.02,86.0,0,6.48,271.2
15,131.6879,50.59,0,0,1.0,1.0,1.0,0.02,86.5,0,6.52,289.3
16,134.7644,50.5,0,0,1.0,1.0,1.0,0.02,87.0,0,6.54,307.4
17,137.8591,50.46,0,0,1.0,1.0,1.0,0.02,87.5,0,6.56,325.4
18,140.9722,50.44,0,0,1.0,1.0,1.0,0.02,88.0,0,6.58,343.5
19,143.4118,49.93,0,0,1.0,1.0,1.0,0.02937,79.7,1,6.59,361.6
20,146.1853,49.86,0,0,1.0,1.0,1.0,0.02797,80.3,1,6.78,379.7
21,149.157,49.85,0,0,1.0005,1.0,1.0,0.02683,80.9,1,6.89,395.4
22,151.9196,49.87,0,0,1.0004,1.0,1.0,0.0258,81.4,1,6.95,409.7
23,154.8587,49.91,0,0,1.0003,1.0,1.0,0.02492,82.0,1,6.97,422.4
